userID	displayName	sum(weight)
80406	"\"0nroth1\""	13
802	mike1886	13
12206	Simon	13
12250	lex	13
33134	CYAN CEVI	13
37793	Daniel	13
53565	Osheen Fatimah	12
76530	Machupicchu	12
8501	smci	12
19067	Hasse Iona	12
70342	SuperCodeBrah	12
85521	batman	12
38911	Continue2Learn	12
18818	Chandan Gautam	12
80390	Billy Bonaros	12
10345	Drj	12
31012	Daniel	12
45799	oaxacamatt	12
70838	lsmor	12
49293	Alexis	12
15543	YCR	12
68068	Aaron Elliot	12
66957	Tlaloc-ES	12
99594	Fazla Rabbi Mashrur	12
63652	gin	12
63096	Maeaex1	12
63871	Franziska W.	12
39590	CezarySzulc	12
102913	Prashant Akerkar	12
32686	Abhishek Verma	12
23811	SaCvP	12
178	Christopher Louden	12
37648	Narahari B M	12
20374	pepe	12
39814	Ariel Jakobovits	12
21433	darXider	12
18544	SQLServerSteve	12
11054	Hidden Markov Model	12
99883	Ak.tech	12
25526	xgrimau	12
40949	pythiest	12
37808	Mimi Müller	12
30578	Vivek Kalyanarangan	12
44560	Tina J	12
94339	えるまる	12
101175	huy	12
60565	Duccio Piovani	12
31316	Euler_Salter	12
57091	jdehesa	12
57233	DmytroSytro	12
51125	BigBadMe	12
75897	jottbe	12
96624	user96624	12
69569	dcolazin	12
87594	Adam	12
13348	Kai	12
46309	user134132523	12
47082	xuhdev	12
45177	quester	12
29580	Shyama	12
59	MCP_infiltrator	12
33338	Shamane Siriwardhana	12
23437	tsttst	12
41058	mausamsion	12
16050	ihadanny	12
5179	Pramit	12
41460	hc_ds	12
54115	U. User	12
82939	towi_parallelism	12
17047	Vin	12
65520	Eduardo Di Santi Grönros	12
13505	Harsh	12
16368	vc_dim	12
82	Damian Melniczuk	12
53793	dsaxton	12
49731	ddd	12
14636	pplonski	12
23440	user23440	12
26202	Sören	12
39234	tomar__	12
46563	Shinobii	12
7738	Kyler Brown	12
68888	katiex7	12
61936	paoloeusebi	12
64041	MGM	12
54188	jeremy_rutman	12
60417	Joos Korstanje	12
71515	Nikhil.Nixel	12
52434	Kabeer Khan	12
11044	Ragnar	12
43438	Sampath Madala	12
18465	Arun Aniyan	12
